 ,Label,Area,X,Y,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
528,Step2 test1 3.2x0.63x-1.avi:2.48 s,120,1094.683,886.25,1094.683,886.25,16.068,9.509,0.157,0.877,62,1.69,0.592,0.913
529,Step2 test1 3.2x0.63x-1.avi:2.48 s,128,1697.953,1192.453,1697.953,1192.453,16.397,9.939,137.171,0.9,62,1.65,0.606,0.921
530,Step2 test1 3.2x0.63x-1.avi:2.48 s,129,1492.283,1459.523,1492.283,1459.523,15.593,10.533,21.598,0.849,62,1.48,0.676,0.89
531,Step2 test1 3.2x0.63x-1.avi:2.48 s,182,683.247,1516.379,683.247,1516.379,17.464,13.269,58.029,0.896,62,1.316,0.76,0.915
532,Step2 test1 3.2x0.63x-1.avi:2.48 s,180,761.55,1684.139,761.55,1684.139,17.172,13.346,124.802,0.895,62,1.287,0.777,0.918
533,Step2 test1 3.2x0.63x-1.avi:2.48 s,138,776.645,1735.42,776.645,1735.42,13.554,12.963,111.368,0.871,62,1.046,0.956,0.923
534,Step2 test1 3.2x0.63x-1.avi:2.48 s,219,469.473,1793.454,469.473,1793.454,22.147,12.591,35.849,0.797,62,1.759,0.569,0.909
535,Step2 test1 3.2x0.63x-1.avi:2.48 s,133,1153.508,1820.741,1153.508,1820.741,16.591,10.207,125.454,0.875,62,1.626,0.615,0.911
536,Step2 test1 3.2x0.63x-1.avi:2.52 s,157,1160.169,771.946,1160.169,771.946,14.869,13.444,150.32,0.945,63,1.106,0.904,0.918
537,Step2 test1 3.2x0.63x-1.avi:2.52 s,117,1401.449,791.004,1401.449,791.004,15.554,9.577,153.545,0.846,63,1.624,0.616,0.883
538,Step2 test1 3.2x0.63x-1.avi:2.52 s,116,1100.431,886.879,1100.431,886.879,15.363,9.614,176.864,0.793,63,1.598,0.626,0.889
539,Step2 test1 3.2x0.63x-1.avi:2.52 s,131,1694.004,1188.836,1694.004,1188.836,16.255,10.261,131.982,0.862,63,1.584,0.631,0.903
540,Step2 test1 3.2x0.63x-1.avi:2.52 s,127,1488.114,1461.996,1488.114,1461.996,15.049,10.745,25.289,0.893,63,1.4,0.714,0.901
541,Step2 test1 3.2x0.63x-1.avi:2.52 s,182,680.401,1521.275,680.401,1521.275,17.622,13.15,52.88,0.896,63,1.34,0.746,0.922
542,Step2 test1 3.2x0.63x-1.avi:2.52 s,187,762.249,1682.543,762.249,1682.543,17.08,13.94,110.055,0.871,63,1.225,0.816,0.914
543,Step2 test1 3.2x0.63x-1.avi:2.52 s,221,464.704,1797.432,464.704,1797.432,22.077,12.745,38.835,0.804,63,1.732,0.577,0.917
544,Step2 test1 3.2x0.63x-1.avi:2.52 s,131,1155.607,1825.462,1155.607,1825.462,16.245,10.267,124.765,0.83,63,1.582,0.632,0.894
545,Step2 test1 3.2x0.63x-1.avi:2.56 s,153,1162.448,773.775,1162.448,773.775,15.181,12.832,151.151,0.911,64,1.183,0.845,0.913
546,Step2 test1 3.2x0.63x-1.avi:2.56 s,120,1403.508,792.275,1403.508,792.275,15.74,9.707,154.355,0.853,64,1.621,0.617,0.906
